,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14
RN7SL455P_hg,0.0,0.19420342284328554,0.008600284413670355,0.0,0.004103905209974727,0.005066721403194287,0.0037581077534830356,0.0,0.0,0.0,0.03443501144439554,0.014230061506601298,0.0,0.0,0.0
RN7SL494P_hg,0.0,0.0004384201369377127,0.0,0.0002374706281721451,0.0,0.0,0.0,8.708466993257355e-07,0.0,0.0,0.0,0.0,0.0,4.681416231616612e-05,0.0002567394463458975
RN7SL507P_hg,0.0,0.001319005441979733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7135074738992375e-05,0.0,0.0,5.335579651692996e-05,0.0
RN7SL510P_hg,0.0,0.39272909256689137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08598910971243506,0.13978153896430037,0.0,0.0,0.0,0.0
RN7SL523P_hg,0.0,0.0,0.0,0.00023705133880128936,0.0,0.0,0.0,0.0,0.0,0.0,0.00011935937177573203,0.0,0.0,0.0,0.00019944123659091054
RN7SL524P_hg,0.0,0.43627145982310594,0.0,0.0,0.0,0.0,0.0021766812167337366,0.0,0.0,0.10573272373852359,0.12542492533620064,0.0,0.0,0.0,0.0
RN7SL568P_hg,0.0,0.00036521826878982373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.035241437627285e-06,0.0,0.0
RN7SL604P_hg,0.0,0.0,0.0,0.0,0.0002969709883778227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006968186142338296
RN7SL605P_hg,0.0,0.3737474825831409,0.0,0.0,0.029218142711627256,0.005141122575792743,0.009030290512121612,0.032844626709470956,0.0,0.002821014606784444,0.060550447647068885,0.058571282785621785,0.02759328211358363,0.011155501296691565,0.015085389520081217
RN7SL670P_hg,0.0,0.22811490296740863,0.005186248692152649,0.0,0.0,0.013302188804688078,0.009422605723704867,0.017075140985698532,0.0,0.0,0.031592786839758955,0.0,0.0,0.0,0.0
RN7SL679P_hg,0.0,0.0,0.0,0.0007661068227437571,0.0,3.159149797575e-05,2.7041821678427597e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.1432488592564e-05,0.0
RN7SL683P_hg,0.0,0.0,5.562055121825229e-05,0.0,0.0,0.00020419765900664763,0.0,0.0,0.0,0.0008955613193022838,0.0,0.0,0.0,0.0033586156505173753,0.0
RN7SL704P_hg,0.0,0.0,0.0,0.00015193346720485711,0.0,0.0,0.0,0.0003713908348089089,0.0,0.0,0.0,0.00016459441792304966,0.0,0.0,0.0
RN7SL717P_hg,0.0,0.0,0.0,0.0,0.0,0.00034915418576765154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.647165098762089e-05
RN7SL73P_hg,0.0,0.1846116578523721,0.002988453658102876,0.0,0.05761679877725485,0.01767258049349224,0.0075361864764686695,0.0,0.0,0.0,0.025057689218710644,0.01620133906396963,0.020395012794751144,0.0,0.012761507415745652
RN7SL751P_hg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013682120562381837,5.5808139253967e-05,0.0,0.0,0.0006486425488978543
RN7SL761P_hg,0.0,0.0003721166961286738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011219182661133863,0.0,0.0,0.0
RN7SL784P_hg,0.0,0.35292294782350403,0.0,0.0,0.0,0.0,0.0,0.005848914802553844,0.0,0.04240949688999165,0.08353301135409752,0.0,0.0,0.0,0.0
RN7SL799P_hg,0.0,0.00017939236079211738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000190392369489904,0.0,0.0
RN7SL811P_hg,0.0,0.4095154647647635,0.0,0.0017224659888324056,0.010583934507721398,0.0,0.0035881822593702285,0.0077286492415737955,0.0,0.05568856537913167,0.10434862443114672,0.0,0.0,0.0,0.0
RN7SL856P_hg,0.0,3.9245049348325706e-05,1.8867542087750628e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.278298585715007e-05,0.0,0.0,0.0
RNA5SP534_hg,0.0,0.0,0.0,0.0007498900572377494,0.0,0.0,9.763595853256361e-05,0.0,0.0,0.0,0.0,4.596876694944528e-06,0.0,0.0,0.000537427400198042
RNASE13_hg,0.0,0.0,0.00045274886694360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNASE1_hg,0.0,0.0,0.0,0.21727521708999084,0.15694390204951433,0.029491590238124914,0.007667248490733501,0.1250494009831234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNASE7_hg,0.0,0.0,0.0,0.0,0.00022805980079313413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012011129348333438,0.006359846318566235
