,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14
Ski_mm,0.0,0.0010516870046969162,0.01240783261660821,0.04522809223921971,0.001953126670555608,0.0,0.0,0.08525630308185111,0.0,0.013414070463616994,0.0,0.0,0.0,0.0,0.0
Skil_mm,0.0,0.0,0.0,0.4174931842562542,0.0,0.0,0.0,0.6903572835683618,0.0,1.0858356793861477,0.3021600934331883,0.5880701691296849,0.02086295178138117,0.0,0.0
Skint8_mm,0.004068790078425085,0.005204520309719702,0.01190186138848458,0.003069547404460941,0.0,0.0,0.0,0.00562965306774698,0.03495374508263033,0.06803549821867357,0.0,0.0,0.007053914421834974,0.0,0.0078841381520352
Skiv2l_mm,0.2027539327625187,0.08782850637385235,0.0,0.46794885433344424,0.35800299510676437,0.0,0.0,0.028731850744016182,0.0,0.38913211321506636,0.5010681144160464,0.0,0.06444390980984287,0.011405617799628221,0.14913159050425745
Sla_mm,0.297324209319919,0.0,0.0,0.7226699556453369,0.14378780142982342,0.0,0.057738612394688305,0.10502814343446674,0.0,0.04436785339026219,0.0,0.1691760079685057,0.0968520249608767,0.0,0.0
Slamf6_mm,0.4304597473954751,0.0038119442844154533,0.026417067541427284,0.3016749219953283,0.0,0.0,0.0,0.0,0.11024093784778194,0.0005938584360664996,0.058960800440121544,0.0,0.0,0.08935394840750092,0.2582142539004793
Slamf7_mm,0.02634044906676018,0.0,0.06002045588568991,0.2115211495180364,0.0,0.030474502780094614,0.0,0.03346654774248534,0.031265267257551785,0.24870290796554761,0.029408926024899463,0.0,0.0,0.08723126579540805,0.22345621590470813
Slc10a4_mm,0.00018507874303178717,1.3191187177982098e-05,0.00031423045707110626,3.7574561866856026e-06,0.0,0.0,2.8098064513003244e-05,0.0,0.0,0.0,0.0001142220730554048,0.0,0.0,0.0,0.0
Slc10a4l_mm,0.0,0.0,5.025325880516713e-05,3.426851162922461e-05,0.0,0.0,0.0,0.0,0.0,6.740116239270782e-05,0.0,7.320369947160531e-05,8.027039314952215e-06,0.0003301004259388326,0.0
Slc10a5_mm,0.0,0.0001680370125430421,0.0,0.0,0.0,0.0006503721956001841,0.0,0.0003896058560993005,0.0011990225952545975,0.0009379738066444096,0.0005105085012935962,0.0,4.2248114994897515e-05,0.0,0.0
Slc12a2_mm,0.0,0.0,0.0,0.0,0.0014638497777425179,0.0026477242672964824,0.0,0.0,0.0,0.006373967451842127,0.0,0.0,0.0,0.0018387048053704407,0.009569542185980568
Slc12a6_mm,0.3450393892221569,0.0,0.03114006591119834,0.3928475973416679,0.3144093871415557,0.0,0.0,0.16012447650684136,0.4507763784543701,0.503212845451139,0.0,0.16323333161840548,0.01854526359515844,0.03536199253790793,0.0
Slc13a3_mm,0.0,0.00013282110548110238,0.00035005200065603236,0.0,0.0,0.0,0.0,0.0,0.0,0.0010437944742553889,0.0,0.0,0.0,0.0007798887289671428,0.0
Slc14a2_mm,0.0,9.060745770144281e-05,0.0004843304043212832,0.0,0.0,0.0,0.00018912909705074067,0.0003326872506462805,0.00016558163417872406,0.0006661446251956873,0.0,0.0,0.0,0.0,0.0
Slc16a6_mm,1.4601896106389682,0.0,0.0,0.3962479619736319,0.4588663198811134,0.0,0.0,0.2781717375267539,0.2472389737287409,0.44388885392277566,0.3872212288654174,0.043743439476794675,0.0,0.05424011204839049,0.0
Slc17a5_mm,0.24197994883932317,0.07500534177255497,0.06090350801265111,0.15223909517789821,0.028575063103649614,0.0,0.0,0.285072543848125,0.3232864731199533,1.0124970435376017,0.0,0.09544910332508985,0.0,0.0,0.0
Slc17a9_mm,0.14552097045214576,0.0,0.018196118670323683,0.2131270830250012,0.011467959502476116,0.0,0.0,0.0,0.0,0.6186172069956973,0.07501844072688588,0.0,0.7828662118706362,0.0,0.0
Slc1a4_mm,0.18286929431873458,0.0,0.04104991558104091,0.2998902976931006,0.4005215206351753,0.0,0.0,0.042849114050138706,0.0,0.16375243483869836,0.0016661604213378278,0.0,0.0,0.18687087439307035,0.10584567321735185
Slc1a5_mm,3.128139425091773,0.34814750715028386,0.0,0.3508754583127064,3.631615062219048,0.5970329906115531,0.0,0.6862186302587349,0.1638081515886922,0.49618433739068096,0.0,0.4211104804355094,0.06756320690189432,0.0,0.9094300513547988
Slc22a18_mm,0.0,0.0,0.0,0.0067320029537753494,0.01872527691397855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slc22a26_mm,0.0,0.0,0.00019217715422396303,0.00014053835447829579,0.0,7.409755930034615e-06,0.0004852891418869064,0.0,2.6700778600889615e-05,0.0,0.0,0.0,0.0,4.525877958553873e-06,0.0
